zip_code,sex,pct_bachelors
53001,male,13
53001,female,23
53002,male,16.2
53002,female,25.4
53003,male,6.8
53003,female,9.4
53004,male,23.3
53004,female,26.8
53005,male,55.6
53005,female,53.9
53006,male,15.4
53006,female,26.8
53007,male,25
53007,female,29.5
53010,male,12
53010,female,18.3
53011,male,16.8
53011,female,18.3
53012,male,53.4
53012,female,48.1
53013,male,25.1
53013,female,24.6
53014,male,17.5
53014,female,21.2
53015,male,24.4
53015,female,25.4
53016,male,3.8
53016,female,13.9
53017,male,41.5
53017,female,42
53018,male,55.7
53018,female,53.4
53019,male,11.5
53019,female,18.2
53020,male,23.3
53020,female,27.7
53021,male,17.4
53021,female,21.8
53022,male,41.3
53022,female,38.5
53023,male,7.9
53023,female,26.2
53024,male,43.8
53024,female,42.1
53027,male,24.6
53027,female,27.9
53029,male,47.5
53029,female,45.6
53032,male,17.6
53032,female,17.1
53033,male,32
53033,female,34.7
53034,male,11.3
53034,female,14.9
53035,male,10
53035,female,19.1
53036,male,23.6
53036,female,29
53037,male,29.7
53037,female,26.9
53038,male,24.8
53038,female,35
53039,male,11
53039,female,17.3
53040,male,19.7
53040,female,19.7
53042,male,15.1
53042,female,14.4
53044,male,62.9
53044,female,59.7
53045,male,65.2
53045,female,54.9
53046,male,18.8
53046,female,13.9
53047,male,21.4
53047,female,42.9
53048,male,15.3
53048,female,16.6
53049,male,12.5
53049,female,31.7
53050,male,13.9
53050,female,14.3
53051,male,41.9
53051,female,40.2
53057,male,12
53057,female,22.1
53058,male,46.9
53058,female,51.3
53059,male,8.6
53059,female,13.9
53061,male,18.3
53061,female,20.8
53063,male,15.1
53063,female,22.4
53065,male,12.8
53065,female,21.9
53066,male,43.1
53066,female,41.3
53069,male,47.5
53069,female,66.7
53070,male,27.1
53070,female,27.5
53072,male,50.1
53072,female,46.4
53073,male,26.3
53073,female,31.1
53074,male,33.7
53074,female,35.3
53075,male,18.3
53075,female,25.3
53076,male,31.4
53076,female,37.3
53078,male,15.4
53078,female,18.1
53079,male,10.8
